id,key,value,type
31419556,amenity,restaurant,regular
31419556,name,Firebrand Saints,regular
31419650,description,Outbound only,regular
31419650,name,Kendall/MIT,regular
31419650,railway,subway_entrance,regular
31419650,url,http://www.mbta.com/schedules_and_maps/subway/lines/stations/?stopId=12412,regular
61151272,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61151272,source,massgis_import_v0.1_20071008124914,regular
61151274,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61151274,source,massgis_import_v0.1_20071008124914,regular
61155686,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61155686,source,massgis_import_v0.1_20071008124914,regular
61155739,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61155739,source,massgis_import_v0.1_20071008124914,regular
61155740,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61155740,source,massgis_import_v0.1_20071008124914,regular
61155741,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61155741,source,massgis_import_v0.1_20071008124914,regular
61155742,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61155742,source,massgis_import_v0.1_20071008124914,regular
61155746,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61155746,source,massgis_import_v0.1_20071008124914,regular
61155753,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61155753,source,massgis_import_v0.1_20071008124914,regular
61155754,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61155754,source,massgis_import_v0.1_20071008124914,regular
61170975,highway,traffic_signals,regular
61170997,crossing,traffic_signals,regular
61170997,highway,traffic_signals,regular
61171059,highway,traffic_signals,regular
61171071,highway,traffic_signals,regular
61171110,highway,traffic_signals,regular
61171112,crossing,traffic_signals,regular
61171112,highway,traffic_signals,regular
61171112,name,SP4 Daniel J. Ryan Square,regular
61171206,crossing,traffic_signals,regular
61171206,highway,traffic_signals,regular
61172228,crossing,traffic_signals,regular
61172228,highway,traffic_signals,regular
61172401,highway,crossing,regular
61172660,highway,traffic_signals,regular
61172687,highway,traffic_signals,regular
61173811,highway,crossing,regular
61178654,highway,traffic_signals,regular
61179910,highway,crossing,regular
61180006,crossing,traffic_signals,regular
61180006,highway,traffic_signals,regular
61180371,highway,traffic_signals,regular
61182441,highway,crossing,regular
61182580,attribution,Office of Geographic and Environmental Information (MassGIS),regular
61182580,source,massgis_import_v0.1_20071008141127,regular
61183134,highway,crossing,regular
61283119,attribution,Office of Geographic and Environmental Information (MassGIS),regular
