id,user,uid,version,changeset,timestamp
8096030,Med,88164,8,30956496,2015-05-10T07:51:47Z
8603503,morganwahl,221294,13,13669201,2012-10-29T02:19:24Z
8604709,onurozgun,677304,6,25270189,2014-09-06T16:30:13Z
8604746,MassGIS Import,15750,1,64956,2007-10-08T19:30:32Z
8604756,SophoM,1670311,6,19670450,2013-12-27T22:09:31Z
8604813,zeromap,599436,13,35158454,2015-11-07T21:25:30Z
8604858,onurozgun,677304,9,25421296,2014-09-13T22:07:14Z
8604879,onurozgun,677304,7,25270189,2014-09-06T16:30:09Z
8604881,onurozgun,677304,7,25270189,2014-09-06T16:30:11Z
8604884,morganwahl,221294,4,13435407,2012-10-10T02:03:43Z
8604962,onurozgun,677304,7,25270189,2014-09-06T16:29:56Z
8605061,onurozgun,677304,5,25270189,2014-09-06T16:30:14Z
8605079,morganwahl,221294,4,11694735,2012-05-25T01:08:04Z
8605096,morganwahl,221294,3,6664722,2010-12-15T05:57:20Z
8605168,onurozgun,677304,6,25270189,2014-09-06T16:30:03Z
8605169,onurozgun,677304,6,25270189,2014-09-06T16:30:03Z
8605193,morganwahl,221294,6,12899968,2012-08-29T02:15:52Z
8605205,jwass,967119,9,26734067,2014-11-12T12:49:35Z
8605207,onurozgun,677304,4,25270189,2014-09-06T16:30:15Z
8605208,onurozgun,677304,9,25270189,2014-09-06T16:30:15Z
8605216,morganwahl,221294,5,35342926,2015-11-16T06:16:30Z
8605229,morganwahl,221294,9,35342926,2015-11-16T06:16:30Z
8605266,morganwahl,221294,3,6664722,2010-12-15T05:56:54Z
8605306,crschmidt,1034,4,286162,2007-10-22T06:05:46Z
8605310,morganwahl,221294,4,35395571,2015-11-18T05:11:47Z
8605345,probiscus,256900,7,21868849,2014-04-22T18:27:23Z
8605356,jumbanho,38487,8,29281246,2015-03-06T03:11:35Z
8605423,onurozgun,677304,4,25270189,2014-09-06T16:30:03Z
8605549,morganwahl,221294,6,11695049,2012-05-25T03:39:11Z
8605568,Tom Walsh,175058,4,3169035,2009-11-20T15:01:59Z
8605671,probiscus,256900,3,13877136,2012-11-14T21:35:38Z
8605673,probiscus,256900,3,13877136,2012-11-14T21:35:38Z
8605680,samely,2512300,8,32193625,2015-06-24T21:52:11Z
8605696,Alexey Lukin,485808,5,35135997,2015-11-06T21:41:23Z
8605712,morganwahl,221294,7,6632151,2010-12-12T03:33:11Z
8605715,morganwahl,221294,4,6632518,2010-12-12T06:19:00Z
8605740,morganwahl,221294,5,6632151,2010-12-12T03:33:21Z
8605743,morganwahl,221294,3,6642755,2010-12-12T22:15:23Z
8605769,morganwahl,221294,3,6589476,2010-12-08T21:10:18Z
8605806,wfox,40242,2,2420387,2009-09-09T00:21:03Z
8605821,xybot,70696,4,3788298,2010-02-04T07:04:59Z
8605831,morganwahl,221294,3,35395571,2015-11-18T05:11:47Z
8605869,morganwahl,221294,5,13435882,2012-10-10T03:08:59Z
8610040,probiscus,256900,2,21868849,2014-04-22T18:27:22Z
8610043,jumbanho,38487,7,29281246,2015-03-06T03:11:35Z
8614574,Prithason,158555,3,2943039,2009-10-25T04:42:19Z
8614580,crschmidt,1034,2,279212,2007-10-22T02:09:47Z
8614582,crschmidt,1034,2,279212,2007-10-22T02:38:46Z
8614583,wambag,326503,21,32194189,2015-06-24T22:26:45Z
8614584,wambag,326503,7,20646514,2014-02-18T22:26:59Z
8614585,almiki,927001,8,13355006,2012-10-03T23:47:17Z
8614586,synack,389825,5,19246955,2013-12-03T08:07:34Z
8614587,Prithason,158555,7,11629007,2012-05-18T03:00:07Z
8614588,BugBuster,166129,2,2682340,2009-09-29T21:52:27Z
8614590,OceanVortex,354704,13,11238608,2012-04-09T13:42:10Z
8614591,zeromap,599436,20,35158454,2015-11-07T21:24:34Z
8614593,Ian McIntosh,38786,2,2170579,2009-08-16T21:02:54Z
8614599,crschmidt,1034,2,279212,2007-10-22T02:20:49Z
8614601,MassGIS Import,15750,1,64956,2007-10-08T23:53:33Z
8614603,MassGIS Import,15750,1,64956,2007-10-08T23:53:35Z
8614604,crschmidt,1034,2,279212,2007-10-22T02:27:17Z
8614605,morganwahl,221294,6,6619643,2010-12-11T07:14:48Z
8614608,MassGIS Import,15750,1,64956,2007-10-08T23:53:40Z
8614612,rockfender,1225139,13,36098577,2015-12-22T05:18:50Z
8614614,Prithason,158555,2,3252637,2009-11-30T03:03:24Z
8614618,Prithason,158555,4,11629007,2012-05-18T03:00:06Z
8614620,zeromap,599436,13,35174522,2015-11-08T17:59:46Z
8614633,wambag,326503,3,20646514,2014-02-18T22:52:48Z
8614708,jwass,967119,4,29895300,2015-04-01T02:21:01Z
8614710,cspanring,1689,4,1079798,2009-05-04T20:58:36Z
8614732,wambag,326503,5,20662270,2014-02-19T19:23:03Z
8614738,KindredCoda,14293,4,537415,2008-05-28T03:57:10Z
8614740,maximerischard,605136,12,26105421,2014-10-15T21:17:36Z
8614748,Ethan O'Connor,46220,2,2953191,2009-10-26T04:24:08Z
8614760,awoodruff,91847,4,36000775,2015-12-17T01:07:22Z
8614762,zeromap,599436,11,35173447,2015-11-08T17:08:48Z
8614766,crschmidt,1034,2,279212,2007-10-22T02:24:55Z
8614767,mregan,61257,2,17026329,2013-07-20T18:28:30Z
8614768,zeromap,599436,16,35158096,2015-11-07T21:03:45Z
8614772,phyzome,296492,2,32087378,2015-06-20T01:20:10Z
8614782,zeromap,599436,14,35174522,2015-11-08T18:02:53Z
8614788,JasonWoof,23351,7,3726138,2010-01-27T09:20:01Z
8614791,crschmidt,1034,2,476449,2009-02-16T02:14:22Z
8614796,ceyockey,146680,7,11200264,2012-04-06T11:43:41Z
8614798,Utible,289005,2,30166322,2015-04-12T16:00:53Z
8614800,JasonWoof,23351,3,488870,2009-02-16T22:10:06Z
8614802,crschmidt,1034,2,279212,2007-10-22T02:16:22Z
8614804,ceyockey,146680,5,11200264,2012-04-06T11:47:22Z
8614805,wambag,326503,7,32194189,2015-06-24T22:26:45Z
8614808,wambag,326503,6,20800750,2014-02-27T00:13:50Z
8614809,MassGIS Import,15750,1,64956,2007-10-08T23:55:00Z
8614810,Benito9,2201299,2,24282886,2014-07-21T21:28:57Z
8614813,Utible,289005,3,28364899,2015-01-24T04:52:04Z
8614814,ceyockey,146680,2,11219467,2012-04-07T22:37:28Z
8614815,MassGIS Import,15750,1,64956,2007-10-08T23:55:02Z
8614816,Michael Hohensee,138879,3,1683092,2009-06-29T23:17:44Z
8614817,MassGIS Import,15750,1,64956,2007-10-08T23:55:03Z
8614818,StellanL,28775,4,16292584,2013-05-26T12:48:23Z
8614819,MassGIS Import,15750,1,64956,2007-10-08T23:55:03Z
8614820,phyzome,296492,12,32087654,2015-06-20T02:01:05Z
8614821,Christopher Beland,2061617,4,22150668,2014-05-05T17:15:54Z
