id,key,value,type
8096030,city,Boston,addr
8096030,housenumber,4,addr
8096030,state,MA,addr
8096030,street,Yawkey Way,addr
8096030,capacity,35000,regular
8096030,leisure,stadium,regular
8096030,name,Fenway Park,regular
8096030,operator,Fenway Sports Group; Boston Red Sox,regular
8096030,wikipedia,en:wikipedia.org/wiki/Fenway Park,regular
8603503,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8603503,condition,fair,regular
8603503,highway,residential,regular
8603503,history,Retrieved from v1,regular
8603503,lanes,2,regular
8603503,way_id,121740,massgis
8603503,name,Munroe Street,regular
8603503,sidewalk,both,regular
8603503,source,massgis_import_v0.1_20071008124914,regular
8603503,width,15.2,regular
8604709,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8604709,bicycle,designated,regular
8604709,condition,deficient,regular
8604709,cycleway,lane,regular
8604709,highway,secondary,regular
8604709,lanes,2,regular
8604709,ref,0 N333,massgis
8604709,way_id,164573,massgis
8604709,name,Somerville Avenue,regular
8604709,oneway,yes,regular
8604709,source,massgis_import_v0.1_20071008141127,regular
8604709,width,19.8,regular
8604746,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8604746,condition,deficient,regular
8604746,created_by,JOSM,regular
8604746,highway,residential,regular
8604746,lanes,2,regular
8604746,way_id,193222,massgis
8604746,name,Columbia Street,regular
8604746,source,massgis_import_v0.1_20071008141127,regular
8604746,width,12.2,regular
8604756,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8604756,condition,good,regular
8604756,highway,secondary,regular
8604756,ref,0 N334,massgis
8604756,way_id,116133,massgis
8604756,name,Washington Street,regular
8604756,oneway,yes,regular
8604756,source,massgis_import_v0.1_20071008141127,regular
8604756,width,18.3,regular
8604813,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8604813,condition,fair,regular
8604813,highway,trunk,regular
8604813,lanes,3,regular
8604813,way_id,159753,massgis
8604813,name,Monsignor O'Brien Highway,regular
8604813,oneway,yes,regular
8604813,ref,MA 28,regular
8604813,source,massgis_import_v0.1_20071008165629,regular
8604813,width,30.5,regular
8604858,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8604858,bicycle,designated,regular
8604858,condition,deficient,regular
8604858,cycleway,lane,regular
8604858,highway,secondary,regular
8604858,lanes,2,regular
8604858,way_id,132257,massgis
8604858,name,Webster Avenue,regular
8604858,oneway,yes,regular
8604858,source,massgis_import_v0.1_20071008141127,regular
8604858,width,15.2,regular
8604879,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8604879,condition,good,regular
8604879,highway,secondary,regular
8604879,lanes,1,regular
8604879,way_id,179856,massgis
8604879,name,Medford Street,regular
8604879,oneway,yes,regular
8604879,source,massgis_import_v0.1_20071008141127,regular
8604879,width,15.2,regular
8604881,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8604881,bicycle,designated,regular
8604881,condition,good,regular
8604881,cycleway,shared_lane,regular
8604881,highway,secondary,regular
8604881,lanes,4,regular
8604881,ref,0 N325,massgis
8604881,way_id,177682,massgis
8604881,maxspeed,30 mph,regular
8604881,name,Prospect Street,regular
8604881,source,massgis_import_v0.1_20071008141127,regular
8604881,maxspeed,massgis,source
8604881,width,15.2,regular
8604884,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8604884,condition,good,regular
8604884,highway,residential,regular
8604884,lanes,2,regular
8604884,way_id,151070,massgis
8604884,name,Merriam Street,regular
8604884,oneway,yes,regular
8604884,source,massgis_import_v0.1_20071008141127,regular
8604884,width,12.2,regular
8604962,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8604962,condition,deficient,regular
8604962,cycleway,shared_lane,regular
8604962,highway,secondary,regular
8604962,lanes,2,regular
8604962,ref,0 N324,massgis
8604962,way_id,143237,massgis
8604962,name,Beacon Street,regular
8604962,source,massgis_import_v0.1_20071008141127,regular
8604962,width,18.3,regular
8605061,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8605061,bicycle,designated,regular
8605061,condition,good,regular
8605061,cycleway,shared_lane,regular
8605061,highway,secondary,regular
8605061,lanes,2,regular
8605061,ref,0 N334,massgis
8605061,way_id,116133,massgis
8605061,name,Washington Street,regular
8605061,source,massgis_import_v0.1_20071008141127,regular
8605061,width,18.3,regular
8605079,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8605079,condition,good,regular
8605079,highway,secondary,regular
8605079,lanes,2,regular
8605079,ref,0 N334,massgis
8605079,way_id,116133,massgis
8605079,name,Washington Street,regular
8605079,source,massgis_import_v0.1_20071008141127,regular
8605079,width,18.3,regular
8605096,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8605096,condition,fair,regular
8605096,highway,residential,regular
8605096,lanes,2,regular
8605096,way_id,168853,massgis
8605096,name,Church Street,regular
8605096,oneway,yes,regular
8605096,source,massgis_import_v0.1_20071008141127,regular
8605096,width,12.2,regular
8605168,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8605168,bicycle,designated,regular
8605168,condition,deficient,regular
8605168,cycleway,shared_lane,regular
8605168,highway,tertiary,regular
8605168,lanes,2,regular
8605168,way_id,209761,massgis
8605168,name,Dane Street,regular
8605168,source,massgis_import_v0.1_20071008141127,regular
8605168,width,12.2,regular
8605169,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8605169,bicycle,designated,regular
8605169,condition,deficient,regular
8605169,cycleway,shared_lane,regular
8605169,highway,tertiary,regular
8605169,lanes,2,regular
8605169,way_id,209761,massgis
8605169,name,Dane Street,regular
8605169,source,massgis_import_v0.1_20071008141127,regular
8605169,width,12.2,regular
8605193,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8605193,condition,fair,regular
8605193,highway,residential,regular
8605193,lanes,2,regular
8605193,way_id,199755,massgis
8605193,name,Linwood Street,regular
8605193,source,massgis_import_v0.1_20071008141127,regular
8605193,width,15.2,regular
